epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,161.733,0.5212,0.56887,0.8778,0.05447,0.12865,0.0446,0.02359,1.51056,5.41831,1.18733,0.000469786,0.000469786,0.000469786
42,165.62,0.53716,0.57392,0.88493,0.05463,0.13296,0.05103,0.02519,1.50077,5.13685,1.19545,0.000459174,0.000459174,0.000459174
43,169.654,0.47388,0.5484,0.87327,0.08033,0.07077,0.04795,0.02574,1.51044,5.10903,1.19383,0.000448464,0.000448464,0.000448464
44,173.563,0.47698,0.54263,0.8744,0.06304,0.12706,0.05321,0.02561,1.50891,5.20781,1.19053,0.000437668,0.000437668,0.000437668
45,177.39,0.48629,0.53819,0.87729,0.05419,0.1086,0.04105,0.0204,1.51403,5.62734,1.20108,0.000426796,0.000426796,0.000426796
46,182.084,0.47752,0.53535,0.87948,0.08421,0.07484,0.04664,0.02308,1.53858,5.4401,1.19427,0.000415859,0.000415859,0.000415859
47,184.963,0.46628,0.5174,0.86851,0.11315,0.06899,0.07313,0.03774,1.54951,5.08393,1.19725,0.000404867,0.000404867,0.000404867
48,188.116,0.50378,0.55518,0.87977,0.06342,0.09873,0.05597,0.02667,1.51223,5.28127,1.20015,0.000393831,0.000393831,0.000393831
49,191.404,0.46648,0.52702,0.87463,0.06841,0.09693,0.04846,0.02468,1.55262,4.97764,1.1956,0.000382762,0.000382762,0.000382762
50,194.579,0.4712,0.52063,0.87748,0.0542,0.1322,0.05054,0.02524,1.52377,5.12478,1.18679,0.000371672,0.000371672,0.000371672
51,197.68,0.49998,0.52661,0.8778,0.06117,0.11316,0.04653,0.02652,1.53424,6.32106,1.20358,0.00036057,0.00036057,0.00036057
52,200.663,0.42574,0.49764,0.86842,0.0825,0.12559,0.05055,0.0229,1.46783,5.8642,1.18287,0.000349468,0.000349468,0.000349468
53,204.026,0.45352,0.50117,0.8725,0.06805,0.10494,0.04564,0.02044,1.51601,6.12179,1.18014,0.000338378,0.000338378,0.000338378
54,206.737,0.48723,0.51351,0.87482,0.0492,0.10476,0.03386,0.01853,1.55958,6.11212,1.17955,0.000327309,0.000327309,0.000327309
55,209.809,0.47898,0.50941,0.8743,0.05156,0.12289,0.03628,0.01656,1.51265,6.19349,1.20725,0.000316273,0.000316273,0.000316273
56,212.795,0.44873,0.49315,0.87472,0.06489,0.12416,0.04668,0.01868,1.57287,7.31312,1.19841,0.000305281,0.000305281,0.000305281
57,215.681,0.43531,0.49438,0.86918,0.05206,0.12703,0.03506,0.0179,1.58757,7.16199,1.20269,0.000294344,0.000294344,0.000294344
58,218.812,0.38785,0.46258,0.86272,0.06188,0.13055,0.03951,0.01774,1.56792,7.05355,1.20793,0.000283472,0.000283472,0.000283472
59,221.792,0.40967,0.48037,0.86831,0.04979,0.0938,0.03599,0.01866,1.57797,7.36527,1.21916,0.000272676,0.000272676,0.000272676
60,224.739,0.40649,0.46245,0.86524,0.06859,0.12309,0.03803,0.01936,1.57155,7.88883,1.20185,0.000261966,0.000261966,0.000261966
61,227.863,0.38213,0.45912,0.86036,0.05627,0.12039,0.03651,0.01786,1.5485,6.71146,1.20959,0.000251354,0.000251354,0.000251354
62,231.21,0.39766,0.4547,0.86673,0.06492,0.12628,0.04577,0.0205,1.5467,6.63571,1.21508,0.00024085,0.00024085,0.00024085
63,233.806,0.39434,0.45649,0.86751,0.06549,0.12289,0.05166,0.02334,1.54333,6.99738,1.1961,0.000230464,0.000230464,0.000230464
64,237.261,0.41426,0.46596,0.86743,0.07116,0.11075,0.05042,0.02176,1.55635,7.08505,1.2121,0.000220206,0.000220206,0.000220206
65,240.529,0.35524,0.4431,0.8631,0.05659,0.12039,0.04241,0.02281,1.54661,7.20365,1.20891,0.000210087,0.000210087,0.000210087
66,243.748,0.39606,0.44372,0.86263,0.05421,0.11047,0.04474,0.02389,1.56391,8.2836,1.19998,0.000200116,0.000200116,0.000200116
67,246.826,0.37817,0.43531,0.86414,0.04933,0.09365,0.04109,0.02185,1.53842,9.04771,1.2006,0.000190304,0.000190304,0.000190304
68,250.895,0.40315,0.46961,0.86903,0.0474,0.10476,0.03783,0.0195,1.54417,10.2062,1.19772,0.000180659,0.000180659,0.000180659
69,256.012,0.39273,0.44606,0.86664,0.04881,0.09811,0.05029,0.0247,1.55134,9.83215,1.2004,0.000171193,0.000171193,0.000171193
70,260.106,0.37626,0.43867,0.86348,0.05722,0.09438,0.05402,0.02624,1.53689,8.49995,1.20866,0.000161913,0.000161913,0.000161913
71,263.964,0.41449,0.45162,0.86395,0.05494,0.16146,0.05339,0.02543,1.49539,7.4744,1.20872,0.000152829,0.000152829,0.000152829
72,267.414,0.36056,0.42451,0.86248,0.05752,0.13884,0.05631,0.02631,1.52464,7.76485,1.19792,0.00014395,0.00014395,0.00014395
73,270.822,0.35176,0.42823,0.86053,0.07478,0.15293,0.05911,0.02656,1.53035,8.16315,1.19454,0.000135285,0.000135285,0.000135285
74,273.961,0.33413,0.4132,0.85979,0.07211,0.15789,0.05874,0.0236,1.51788,8.17596,1.19148,0.000126843,0.000126843,0.000126843
75,277.194,0.40128,0.43935,0.86746,0.05906,0.14355,0.04297,0.0192,1.52702,8.85159,1.19379,0.000118631,0.000118631,0.000118631
76,281.182,0.34998,0.41755,0.8586,0.0645,0.13176,0.04471,0.02055,1.51535,8.98309,1.19186,0.000110657,0.000110657,0.000110657
77,284.366,0.33426,0.406,0.85664,0.05517,0.13289,0.0458,0.0207,1.51343,8.52124,1.19274,0.000102931,0.000102931,0.000102931
78,288.251,0.33134,0.42446,0.85942,0.08868,0.12506,0.0499,0.02156,1.50898,8.04601,1.19175,9.54582e-05,9.54582e-05,9.54582e-05
79,291.932,0.34489,0.41343,0.85978,0.06319,0.12039,0.05309,0.02615,1.52691,8.22417,1.19173,8.82475e-05,8.82475e-05,8.82475e-05
80,295.645,0.33705,0.40974,0.86019,0.05946,0.13627,0.0545,0.02687,1.53123,8.59099,1.19117,8.13055e-05,8.13055e-05,8.13055e-05
81,299.29,0.32313,0.40488,0.85812,0.0661,0.14289,0.06035,0.02674,1.51732,8.91501,1.19033,7.46391e-05,7.46391e-05,7.46391e-05
82,302.903,0.38073,0.43041,0.86252,0.06652,0.14289,0.05861,0.02612,1.52388,9.48993,1.19544,6.82549e-05,6.82549e-05,6.82549e-05
83,306.742,0.33083,0.40733,0.85934,0.06556,0.14884,0.05633,0.02631,1.53368,9.72063,1.19981,6.21592e-05,6.21592e-05,6.21592e-05
84,310.816,0.31662,0.39799,0.857,0.05625,0.15055,0.05333,0.02747,1.53095,9.76159,1.1935,5.63579e-05,5.63579e-05,5.63579e-05
85,314.585,0.32924,0.41572,0.85898,0.05866,0.14222,0.05352,0.02728,1.54473,9.59834,1.20237,5.08569e-05,5.08569e-05,5.08569e-05
86,318.658,0.36627,0.42034,0.86378,0.05939,0.14398,0.05607,0.02776,1.54717,9.37973,1.20611,4.56616e-05,4.56616e-05,4.56616e-05
87,322.547,0.33739,0.40727,0.86084,0.05759,0.13986,0.05595,0.02846,1.54713,9.21029,1.20255,4.0777e-05,4.0777e-05,4.0777e-05
88,326.818,0.32958,0.41099,0.86016,0.06463,0.15333,0.05625,0.02793,1.54398,9.09719,1.1983,3.6208e-05,3.6208e-05,3.6208e-05
89,330.883,0.31218,0.39456,0.85645,0.06522,0.16166,0.05623,0.02778,1.54593,9.02315,1.20048,3.19591e-05,3.19591e-05,3.19591e-05
90,334.632,0.30001,0.38389,0.85776,0.06726,0.15677,0.05479,0.02736,1.54382,9.05776,1.19972,2.80345e-05,2.80345e-05,2.80345e-05
91,389.13,0.35126,0.40976,0.85516,0.06347,0.16166,0.05425,0.02853,1.5383,9.10739,1.19681,2.44381e-05,2.44381e-05,2.44381e-05
92,393.943,0.31759,0.40321,0.85709,0.05659,0.14962,0.04929,0.02486,1.53059,9.13829,1.19363,2.11734e-05,2.11734e-05,2.11734e-05
93,398.679,0.33552,0.41422,0.85921,0.0644,0.16052,0.04902,0.02421,1.52706,9.04894,1.19371,1.82437e-05,1.82437e-05,1.82437e-05
94,403.447,0.30958,0.39521,0.85635,0.05691,0.15889,0.04944,0.02411,1.52688,9.07407,1.19403,1.56517e-05,1.56517e-05,1.56517e-05
95,408.197,0.32497,0.41248,0.85917,0.05504,0.13627,0.04884,0.02435,1.52836,9.02999,1.19395,1.34002e-05,1.34002e-05,1.34002e-05
96,412.793,0.37001,0.43078,0.86341,0.05292,0.12913,0.04729,0.0243,1.53108,8.97222,1.19396,1.14913e-05,1.14913e-05,1.14913e-05
97,417.443,0.31933,0.39375,0.85782,0.0555,0.13248,0.04807,0.02465,1.53216,8.94441,1.19369,9.9269e-06,9.9269e-06,9.9269e-06
98,421.464,0.32196,0.40314,0.86196,0.05637,0.13627,0.04828,0.0249,1.52996,8.88305,1.19349,8.70853e-06,8.70853e-06,8.70853e-06
99,424.165,0.31402,0.40056,0.85613,0.05642,0.14352,0.04971,0.02525,1.5282,9.03184,1.19254,7.83741e-06,7.83741e-06,7.83741e-06
100,426.843,0.30643,0.39324,0.85458,0.0558,0.13627,0.05015,0.02533,1.52827,9.144,1.193,7.3144e-06,7.3144e-06,7.3144e-06
